t 1 jL0100 
1.92 -0.99476 0.0399979
1.93 -0.872573 0.0306612
1.94 -0.749525 0.0225507
1.95 -0.625738 0.0156744
1.96 -0.501333 0.010039
1.97 -0.376433 0.00565022
1.98 -0.251162 0.00251224
1.99 -0.125643 0.000628215
2 1.67839e-14 6.87132e-15
2.01 0.125643 0.000628215
2.02 0.251162 0.00251224
2.03 0.376433 0.00565022
2.04 0.501333 0.010039
2.05 0.625738 0.0156744
2.06 0.749525 0.0225507
2.07 0.872573 0.0306612
2.08 0.99476 0.0399979
2.09 1.11596 0.0505515
2.1 1.23607 0.0623117
2.11 1.35495 0.0752668
2.12 1.4725 0.089404
2.13 1.58859 0.104709
2.14 1.70312 0.121168
2.15 1.81596 0.138763
2.16 1.92701 0.157478
2.17 2.03617 0.177294
2.18 2.14331 0.198192
2.19 2.24833 0.22015
2.2 2.35114 0.243147
2.21 2.45163 0.267161
2.22 2.5497 0.292168
2.23 2.64525 0.318142
2.24 2.73819 0.345059
2.25 2.82843 0.372893
2.26 2.91587 0.401614
2.27 3.00044 0.431196
2.28 3.08205 0.461608
2.29 3.16062 0.492822
2.3 3.23607 0.524805
2.31 3.30832 0.557527
2.32 3.37731 0.590955
2.33 3.44297 0.625056
2.34 3.50523 0.659797
2.35 3.56403 0.695144
2.36 3.61931 0.73106
2.37 3.67102 0.767512
2.38 3.71911 0.804463
2.39 3.76352 0.841876
2.4 3.80423 0.879715
2.41 3.84117 0.917942
2.42 3.87433 0.956519
2.43 3.90367 0.995409
2.44 3.92915 1.03457
2.45 3.95075 1.07397
2.46 3.96846 1.11357
2.47 3.98225 1.15332
2.48 3.99211 1.19319
2.49 3.99803 1.23314
2.5 4 1.27313
2.51 3.99803 1.31312
2.52 3.99211 1.35308
2.53 3.98225 1.39295
2.54 3.96846 1.4327
2.55 3.95075 1.4723
2.56 3.92915 1.5117
2.57 3.90367 1.55086
2.58 3.87433 1.58975
2.59 3.84117 1.62833
2.6 3.80423 1.66656
2.61 3.76352 1.70439
2.62 3.71911 1.74181
2.63 3.67102 1.77876
2.64 3.61931 1.81521
2.65 3.56403 1.85113
2.66 3.50523 1.88647
2.67 3.44297 1.92121
2.68 3.37731 1.95531
2.69 3.30832 1.98874
2.7 3.23607 2.02146
2.71 3.16062 2.05345
2.72 3.08205 2.08466
2.73 3.00044 2.11507
2.74 2.91587 2.14466
2.75 2.82843 2.17338
2.76 2.73819 2.20121
2.77 2.64525 2.22813
2.78 2.5497 2.2541
2.79 2.45163 2.27911
2.8 2.35114 2.30312
2.81 2.24833 2.32612
2.82 2.14331 2.34808
2.83 2.03617 2.36898
2.84 1.92701 2.38879
2.85 1.81596 2.40751
2.86 1.70312 2.4251
2.87 1.58859 2.44156
2.88 1.4725 2.45687
2.89 1.35495 2.471
2.9 1.23607 2.48396
2.91 1.11596 2.49572
2.92 0.99476 2.50627
2.93 0.872573 2.51561
2.94 0.749525 2.52372
2.95 0.625738 2.5306
2.96 0.501333 2.53623
2.97 0.376433 2.54062
2.98 0.251162 2.54376
2.99 0.125643 2.54564
3 2.41585e-13 2.54627
3.01 -0.125643 2.54564
3.02 -0.251162 2.54376
3.03 -0.376433 2.54062
3.04 -0.501333 2.53623
3.05 -0.625738 2.5306
3.06 -0.749525 2.52372
3.07 -0.872573 2.51561
3.08 -0.99476 2.50627
3.09 -1.11596 2.49572
3.1 -1.23607 2.48396
3.11 -1.35495 2.471
3.12 -1.4725 2.45687
3.13 -1.58859 2.44156
3.14 -1.70312 2.4251
3.15 -1.81596 2.40751
3.16 -1.92701 2.38879
3.17 -2.03617 2.36898
3.18 -2.14331 2.34808
3.19 -2.24833 2.32612
3.2 -2.35114 2.30312
3.21 -2.45163 2.27911
3.22 -2.5497 2.2541
3.23 -2.64525 2.22813
3.24 -2.73819 2.20121
3.25 -2.82843 2.17338
3.26 -2.91587 2.14466
3.27 -3.00044 2.11507
3.28 -3.08205 2.08466
3.29 -3.16062 2.05345
3.3 -3.23607 2.02146
3.31 -3.30832 1.98874
3.32 -3.37731 1.95531
3.33 -3.44297 1.92121
3.34 -3.50523 1.88647
3.35 -3.56403 1.85113
3.36 -3.61931 1.81521
3.37 -3.67102 1.77876
3.38 -3.71911 1.74181
3.39 -3.76352 1.70439
3.4 -3.80423 1.66656
3.41 -3.84117 1.62833
3.42 -3.87433 1.58975
3.43 -3.90367 1.55086
3.44 -3.92915 1.5117
3.45 -3.95075 1.4723
3.46 -3.96846 1.4327
3.47 -3.98225 1.39295
3.48 -3.99211 1.35308
3.49 -3.99803 1.31312
3.5 -4 1.27313
3.51 -3.99803 1.23314
3.52 -3.99211 1.19319
3.53 -3.98225 1.15332
3.54 -3.96846 1.11357
3.55 -3.95075 1.07397
3.56 -3.92915 1.03457
3.57 -3.90367 0.995409
3.58 -3.87433 0.956519
3.59 -3.84117 0.917942
3.6 -3.80423 0.879715
3.61 -3.76352 0.841876
3.62 -3.71911 0.804463
3.63 -3.67102 0.767512
3.64 -3.61931 0.73106
3.65 -3.56403 0.695144
3.66 -3.50523 0.659797
3.67 -3.44297 0.625056
3.68 -3.37731 0.590955
3.69 -3.30832 0.557527
3.7 -3.23607 0.524805
3.71 -3.16062 0.492822
3.72 -3.08205 0.461608
3.73 -3.00044 0.431196
3.74 -2.91587 0.401614
3.75 -2.82843 0.372893
3.76 -2.73819 0.345059
3.77 -2.64525 0.318142
3.78 -2.5497 0.292168
3.79 -2.45163 0.267161
3.8 -2.35114 0.243147
3.81 -2.24833 0.22015
3.82 -2.14331 0.198192
3.83 -2.03617 0.177294
3.84 -1.92701 0.157478
3.85 -1.81596 0.138763
3.86 -1.70312 0.121168
3.87 -1.58859 0.104709
3.88 -1.4725 0.089404
3.89 -1.35495 0.0752668
3.9 -1.23607 0.0623117
3.91 -1.11596 0.0505515
3.92 -0.99476 0.0399979
3.93 -0.872573 0.0306612
3.94 -0.749525 0.0225507
3.95 -0.625738 0.0156744
3.96 -0.501333 0.010039
3.97 -0.376433 0.00565022
3.98 -0.251162 0.00251224
3.99 -0.125643 0.000628215
4 -5.20656e-13 6.46614e-15
