t  1  2  3  jxH0100
1.32  1.52165  1.4  1.4  1.52165
1.33  1.73903  1.6  1.6  1.73903
1.34  1.95641  1.8  1.8  1.95641
1.35  2.17378  2  2  2.17378
1.36  2.39116  2.2  2.2  2.39116
1.37  2.60854  2.4  2.4  2.60854
1.38  2.82592  2.6  2.6  2.82592
1.39  3.0433  2.8  2.8  3.0433
1.4  3.26068  3  3  3.26068
1.41  3.47805  3.2  3.2  3.47805
1.42  3.69543  3.4  3.4  3.69543
1.43  3.91281  3.6  3.6  3.91281
1.44  4.13019  3.8  3.8  4.13019
1.45  4.34757  4  4  4.34757
1.46  4.56495  4.2  4.2  4.56495
1.47  4.78233  4.4  4.4  4.78233
1.48  4.9997  4.6  4.6  4.9997
1.49  5.21708  4.8  4.8  5.21708
1.5  5.43446  5  5  5.43446
1.51  5.21708  4.8  4.8  5.21708
1.52  4.9997  4.6  4.6  4.9997
1.53  4.78233  4.4  4.4  4.78233
1.54  4.56495  4.2  4.2  4.56495
1.55  4.34757  4  4  4.34757
1.56  4.13019  3.8  3.8  4.13019
1.57  3.91281  3.6  3.6  3.91281
1.58  3.69543  3.4  3.4  3.69543
1.59  3.47805  3.2  3.2  3.47805
1.6  3.26068  3  3  3.26068
1.61  3.0433  2.8  2.8  3.0433
1.62  2.82592  2.6  2.6  2.82592
1.63  2.60854  2.4  2.4  2.60854
1.64  2.39116  2.2  2.2  2.39116
1.65  2.17378  2  2  2.17378
1.66  1.95641  1.8  1.8  1.95641
1.67  1.73903  1.6  1.6  1.73903
1.68  1.52165  1.4  1.4  1.52165
1.69  1.30427  1.2  1.2  1.30427
1.7  1.08689  1  1  1.08689
1.71  0.420311  0.8  0.8  0.420311
1.72  0.297108  0.6  0.6  0.297108
1.73  0.0187788  0.4  0.4  0.0187788
1.74  0.00935663  0.2  0.2  0.00935663
1.75  -1.28868e-15  -2.66454e-14  -2.66454e-14  -1.28868e-15
1.76  -0.00929153  -0.2  -0.2  -0.00929153
1.77  -0.0185184  -0.4  -0.4  -0.0185184
1.78  -0.289124  -0.6  -0.6  -0.289124
1.79  -0.383752  -0.8  -0.8  -0.383752
1.8  -0.477518  -1  -1  -0.477518
1.81  -0.570427  -1.2  -1.2  -0.570427
1.82  -0.662484  -1.4  -1.4  -0.662484
1.83  -0.753697  -1.6  -1.6  -0.753697
1.84  -0.84407  -1.8  -1.8  -0.84407
1.85  -0.93361  -2  -2  -0.93361
1.86  -1.02232  -2.2  -2.2  -1.02232
1.87  -1.11021  -2.4  -2.4  -1.11021
1.88  -1.19729  -2.6  -2.6  -1.19729
1.89  -1.28355  -2.8  -2.8  -1.28355
1.9  -1.36901  -3  -3  -1.36901
1.91  -1.45367  -3.2  -3.2  -1.45367
1.92  -1.53754  -3.4  -3.4  -1.53754
1.93  -1.62061  -3.6  -3.6  -1.62061
1.94  -1.70291  -3.8  -3.8  -1.70291
1.95  -1.78443  -4  -4  -1.78443
1.96  -1.86517  -4.2  -4.2  -1.86517
1.97  -1.94515  -4.4  -4.4  -1.94515
1.98  -2.02437  -4.6  -4.6  -2.02437
1.99  -2.10284  -4.8  -4.8  -2.10284
2  -2.18055  -5  -5  -2.18055
2.01  -2.10191  -4.8  -4.8  -2.10191
2.02  -2.02348  -4.6  -4.6  -2.02348
2.03  -1.94429  -4.4  -4.4  -1.94429
2.04  -1.86435  -4.2  -4.2  -1.86435
2.05  -1.78364  -4  -4  -1.78364
2.06  -1.70216  -3.8  -3.8  -1.70216
2.07  -1.6199  -3.6  -3.6  -1.6199
2.08  -1.53686  -3.4  -3.4  -1.53686
2.09  -1.45303  -3.2  -3.2  -1.45303
